mg,bp_rp
0.6687816584015582,1.8660717
6.34421812224231,1.2628975
2.694654234667201,0.8697014
6.407025802899977,1.5348244
4.979786530624015,1.3074627
9.680329395353159,2.0036583
6.295858032612841,1.1696825
4.521873558125591,1.3548441
6.299937397902347,1.8578987
5.115511396895117,1.2255964
4.650456419387671,0.89266014
0.7120499371283362,1.2508116
6.137814221849858,1.2844391
6.019397236065224,1.1783237
5.674634207635481,1.3493538
1.694768974361935,0.5835104
3.0470553082707106,1.335741
5.881205490063355,1.0515518
6.6468215255654,1.466795
4.850450357723712,1.1561136
4.441163160937897,0.887558
6.672175206357021,1.5572243
3.57081100685204,0.68426037
4.724473417071694,0.95111847
4.023621662681668,1.5353785
5.2238320463270345,0.9517565
4.982935856637436,1.3936892
5.429948541062522,1.2186117
10.449738476149374,2.6245098
4.5521126374587535,0.9547157
3.2389552325719126,1.1055098
4.405692494894804,0.91135216
5.916599950130543,1.1801643
4.172110393425546,1.0743914
5.479536277614972,1.3227701
1.3657258275586486,1.7149563
4.528224975705671,1.2078009
7.0935095677458975,1.382555
4.918964342199423,1.0141563
3.551723032295797,0.8915682
6.898695622782132,1.4123144
9.055838277734125,2.1019135
5.088133681221599,1.1318235
7.938392139187783,1.8642883
4.5694488835124325,1.1583595
2.760781109643471,1.2597265
4.896843951669593,1.1426105
7.806994824548898,1.7404232
4.275083598621951,1.245923
5.356643883847038,1.0466671
4.326679950473645,0.8890028
5.492294076827683,1.210002
6.1232249363419555,1.320034
4.710301719113684,0.86068916
7.991903193741141,1.8669624
8.653894273624122,2.178028
4.423592687747799,1.3970127
3.8278578703263264,0.789341
3.9105910356681406,0.97892475
4.11597836609689,1.2277889
9.239852962496258,2.246708
3.5148095426968418,1.0052671
7.486282391061977,1.7382946
3.132824463149367,1.1349583
8.22621351775723,1.9943581
5.228391110891737,1.3424959
1.5267695440308273,2.0563545
6.458586318264494,1.431179
7.543266924066863,1.8587914
6.117246205128449,1.4010525
4.478431433062365,1.0573082
7.870242827216657,2.008009
9.76323627362175,2.3382416
5.714118358804084,1.2901249
0.8063723314935807,1.4824553
6.026780366180525,1.4854584
7.828886433622834,1.8556271
5.718549956228632,1.2448006
4.541695434175507,0.8483658
2.7278166444765013,0.8384714
7.916050975082737,2.2697716
4.160133991176007,1.1975174
5.566909025151189,1.04568
4.481501037925938,1.1187716
5.626390756747828,1.2042475
5.685634051076642,1.2872152
8.085369637108752,1.8526516
8.927480683632556,2.4059772
3.6055716730121574,1.2640095
5.857899879388336,1.1861057
3.213495575100673,0.86121845
7.777767911000602,1.6466675
9.182383458699505,2.3213024
6.1682765383426315,1.9874535
2.6842468520274885,1.4898558
7.787636536433478,1.8925819
7.199254691995982,1.5738726
1.5500357598717596,1.688201
3.3390385341220643,1.2349043
2.0567290795316655,2.4705524
10.950178586093092,2.5611362
4.137972865060124,0.8903456
5.617069389993119,1.2251453
4.179909559462832,0.95086765
3.746828342013755,0.9262762
2.475603878529107,1.3362007
2.723030352511243,0.51749516
1.5846958905282857,0.8359947
0.7318659648668415,1.2779617
6.5879805854249405,1.3895054
9.587582124174848,2.4596882
9.420878570054732,2.4260902
7.061641486939049,1.3447342
4.448984493418669,0.8900671
7.1403613503843815,1.6406174
3.6377952973971013,1.3747053
3.8934432924218214,1.3122749
7.196772860822964,1.9124565
8.2102286843261,1.922411
4.057343275696489,1.0056562
5.275727577752578,1.0182562
2.4091675641775154,1.0421934
8.0500055382386,1.948906
0.2505501405110362,0.58665085
2.396384651725665,2.4426432
4.317660209429512,0.9107981
5.176982187727315,1.1109533
5.430175912750602,1.0635242
5.56864189695921,1.4617481
5.175448857918386,1.1715546
0.3249749978513208,1.1970816
6.542309458717288,1.8887577
4.879068055044396,1.0316839
3.8964138152506322,1.2175817
7.34791464811298,1.9333782
3.295524290180717,1.0815191
4.757068227639898,0.88104343
5.060359007803747,1.1961126
4.186019524312435,1.071703
6.138225229230859,1.3226318
8.696501435554232,2.0499287
4.006861497696004,0.94721985
9.483185112033208,2.3771343
5.8837697006875285,1.3384151
5.379728694407701,1.4995861
0.17320337708867228,1.8627262
2.939891769781136,0.7899294
8.357934655848972,1.9908886
0.13316706464810935,1.9472303
4.23121281339518,1.3636608
1.0437067090235086,1.9176836
5.366995242591493,0.95484734
4.044631702205702,1.0096874
2.5995259791278684,1.2971201
10.29817704342317,2.444683
6.6957635555549295,1.4502907
4.502696375803696,0.86407185
6.717195185619758,1.4317532
6.226098643096567,1.3631096
5.4033879364171415,1.3365936
3.7247405918105922,1.3036175
3.3170910216584684,0.70964146
4.028819026885216,0.97568893
3.727081233912056,1.1088448
6.351770751772033,1.2804718
4.603582366444918,0.9897289
6.164880360413683,1.571701
2.5003092297637224,2.0644627
1.461387463767796,0.51128674
3.99603576253007,1.3036966
5.221813903213533,1.1642113
5.455819652814714,0.9986448
5.101856188124962,1.1601381
8.975643740162155,2.2217731
5.09935189462538,1.0656357
4.622199295382973,1.246192
5.487681318945516,1.0442944
4.825263729704377,0.68309784
3.5970901382010343,1.00566
7.555343554828372,1.8384266
7.426875591213253,1.6829224
3.7605109916459405,1.2413464
6.737818780902071,1.4487247
5.415224971406836,1.2278442
3.849710467342563,0.9426069
4.796363995023574,0.8926687
3.645914569864889,1.0087805
5.5757330388169635,1.0083618
5.749207849006455,1.0924406
6.03153768762602,1.2747154
5.817273060782503,1.8297787
3.924016187054363,0.910964
7.837299268579816,1.9114723
2.616384834135019,1.9549885
1.6270804256867404,1.6398907
5.4733171409321155,0.9211159
0.27065663687208286,1.6835289
3.2596819319285366,1.1278734
4.027274431803967,0.8514614
2.6541863634556417,0.97575665
6.268206950661519,1.2773495
4.9539120896693,1.0615015
6.34306296853687,1.3154373
6.145596974617149,1.3035488
5.783222659870267,1.465518
5.781805966355144,0.96574974
5.763702004353862,1.1659594
6.5356142085277185,1.3256721
3.436801518865682,0.9282913
5.863517706240033,1.2906313
6.943731387571674,1.4155216
4.966759946713859,1.9595671
7.7569896982057855,1.6612778
5.2220924875068135,1.304182
6.462107271841642,1.3907337
3.3264333118862304,0.7563257
4.07656709938402,0.93254375
5.704719819665602,1.2078953
2.8139372441470965,0.86947346
5.973765310459612,1.2479057
1.474161319524402,1.6978216
9.202831587208848,2.291687
6.439526527536646,1.2383556
-0.1712961003141018,1.6673708
5.866377878746535,1.1618748
4.733819368329229,0.8921566
3.783620958816641,1.1583652
3.8036500471386745,1.1431627
4.026578572309614,1.0317335
0.8137675949586303,1.4768057
6.958051101171538,1.2672138
3.0940501402816345,0.90627575
7.670650720700085,1.7369633
6.1805109727445,1.8068104
4.061007153319842,1.3718615
6.465363507720031,1.3549213
4.061640539474274,0.82225513
5.783310772018158,1.5183992
5.428793378380361,1.1734676
5.955802926166324,1.3265581
0.7331575363814835,1.5459585
10.167701680499523,2.3676548
3.60945366282316,1.3413811
10.679180787262425,2.5374794
6.480731174908033,1.6014805
4.825487636162544,1.330473
6.840437705635743,1.2556953
10.106637172549163,2.7005672
4.342146294676899,1.2905102
4.043625275224494,0.82234097
4.640177288419746,1.219698
6.06186141131165,1.2947292
3.442465813293831,1.1120434
4.4478905579029195,0.8947115
5.596707659653559,1.2524576
2.198148033118457,1.5140791
6.538355083005776,1.5643959
-0.07200657179283709,1.4761438
5.945036028931323,1.2135267
9.685705438545877,2.2959251
5.3008533727863,0.9439974
8.627928417005034,2.3183975
5.434287029571166,0.9609604
8.604600118331469,1.7206764
5.230217818762277,0.8368168
1.2081295825879703,1.5765295
5.191665778713693,1.3381605
5.0959240266254255,1.2881823
5.593930398481993,1.0219669
7.55441067707136,1.7794895
5.823912933999614,1.254652
1.0514367639612807,1.7365198
9.94699718135243,2.6005802
3.8136299678705043,1.1083641
1.1361791287069156,1.6361818
9.129974034851191,2.4567642
3.567209468707297,0.9941635
6.246200560885171,1.1282454
3.484951936734811,0.96652985
1.3708770842456293,1.5658436
5.454435726382609,1.4603529
2.5242664579277783,1.251009
6.027156547481226,1.0930614
6.145916365085622,1.099966
5.080749133185385,0.9195404
6.5506978016008794,1.3771477
3.9877315655510905,0.97509766
2.238320759306392,1.5475969
6.12445752775076,1.1990452
7.523091821443618,1.7028103
2.535109098073356,1.6119165
4.393323059257661,1.1290026
3.1688664282401255,0.9889021
5.632728403489816,1.0114098
5.049323453250661,1.0762062
3.952141607510974,1.6897373
3.921093366959081,1.093174
5.683466483098259,1.2535114
6.132661529661455,1.5820379
5.140828920391797,1.0680428
3.2671368410991164,0.6880169
4.554051999665171,1.1438828
5.507110262517907,1.7556477
5.018264274430383,1.423006
7.000171120919301,1.6660004
5.827113912710422,1.8251991
4.760025464180703,1.0617781
0.008967950684779069,1.5544424
4.782592420094659,0.8407364
6.7484561742083,1.1318588
5.050366903092042,1.033658
7.411250500466831,1.7349873
8.706841901074604,2.122572
5.988601476687398,1.4160461
4.109359470542808,1.5711756
2.696742574145473,1.2536821
2.7422408296761116,1.1664724
4.357136882604859,1.2559996
5.332518405239886,1.2160349
1.6508336761561466,1.8485031
3.9699392946995644,1.2028666
2.715478385785527,1.2107162
-0.0569788590481668,0.91641045
3.655405855279618,1.4904127
7.275716302765279,1.6628933
8.54483069974134,2.0461617
3.259295980009199,1.0261335
4.139086602434261,0.9270325
6.052556007272482,1.2146797
5.083492263157272,1.2464314
6.5329440111643144,1.3306494
6.837392893494481,1.3937922
4.261130616839601,0.92308044
9.607218500220984,2.0408688
4.903202915584409,1.1899786
6.059130431305931,1.1207905
7.638799947723058,1.6917477
5.349955276060555,1.2801447
6.88248629502846,1.498682
6.297501411113494,1.5844822
10.438157600814385,2.24271
3.483609964768373,0.8769522
3.858596214567788,1.0493431
8.222236216502612,2.2002316
4.832834261536494,1.0153913
8.450505751924936,2.0607185
4.332536437197621,1.5403519
1.2756837170680821,1.3839674
4.073880577295695,1.0929766
7.3479868747278125,1.6885223
5.553184111285505,1.0017338
3.1262716633162846,0.8862114
8.95797554354905,2.2223682
4.655176415061611,1.5240555
4.875884395207782,1.344943
5.986158927310887,1.1245117
6.590729467370142,1.2786598
4.116122967482616,0.92948246
9.066584235299068,2.2243881
8.887729644770548,2.202135
4.933082212688623,0.9837694
5.5648277605214425,1.98038
5.6268526373720515,0.9789715
5.267939156984896,1.0297384
4.334248075443096,1.4174299
9.154807183583383,2.1982212
6.8871787983981925,1.302681
5.326091224885387,0.95354366
9.00917289266702,2.379799
5.352697971012857,1.2496195
7.403042251973176,1.1491222
7.348967667430902,1.655323
7.724411425629757,1.5693512
1.5447723252848178,1.5918121
5.897882840622216,1.2626972
5.663589541712295,1.5766172
3.370743743638151,0.9535303
2.1049439448283174,1.9035845
4.464479448607133,0.78409195
7.372483381277473,1.6154613
1.7648931654167637,1.4230604
3.711893219975126,0.7528877
3.7515228072475786,1.1158991
4.185244656890939,1.5087881
3.3966732595747295,0.6117916
7.320159344102706,2.008772
9.934992688480929,2.3049374
6.657699926736132,1.5172863
4.804953971588068,0.96391296
1.3544573503969222,2.4960222
4.991624963494118,1.3982725
5.253568430004869,0.9774809
4.459285549777375,1.1924973
2.3230442753859073,1.3033943
4.710023583611768,0.9325161
7.551477868729105,1.7627182
4.618635422451103,1.1748352
8.13527398538557,2.1969528
4.614201401025852,1.0937719
3.3890678103628247,0.9433994
4.92469233535488,1.1623669
5.529480880272395,1.1898451
4.376599319701166,1.0618668
4.5044112639856415,0.98242664
6.383559106568924,1.6531601
5.378387984551338,1.4573193
2.903430457533574,1.0580978
7.3805997759637165,1.9017582
4.529906113391441,0.95326614
4.878991393156721,1.491189
5.136023909086559,1.2168093
7.333180358580272,1.5092869
6.167360592691235,1.9661169
3.976077732569969,1.1499681
6.577443463381396,1.2197952
1.9371910489750555,1.7653904
5.37411852213984,0.947731
9.437966059933718,2.2704086
2.439051237299756,1.0245018
7.742627801259392,1.5877094
7.193580612354985,1.3678837
5.90088722204594,1.2662792
4.276952642838772,1.4307919
6.348478036502598,1.3507214
5.199772795016504,1.6801472
6.357335743469694,1.1175404
6.426311535369138,1.5137234
6.467569066728366,1.2517042
6.895467986452566,1.4676342
1.095988483569327,0.9281826
4.275584369211673,1.125247
3.168137313334757,1.038907
4.153294075824375,1.4842682
4.9359580284944045,1.2412558
6.066917079278376,1.1570129
8.182032855618623,1.9942932
0.4925988753398034,1.6385384
6.860445410830213,1.3602257
5.221595331503821,1.1856747
7.332171042756848,1.6919727
2.4514042282609623,1.0495338
5.672322964079971,1.3495207
9.458781597558104,2.4062614
4.0061612426990205,0.9372635
7.527939350303882,1.6592731
9.659388768476123,2.5626907
2.1426454060023428,1.6228905
7.583814022841025,2.0812645
2.9318285286788495,0.7245989
6.969687176633187,1.7258129
5.226393090767603,1.0744209
6.94000959000082,1.6078587
3.299570388961584,1.1330051
9.000397532943122,2.4348755
5.332598737434623,1.1349211
5.830899065264974,1.0712872
5.276583524401142,1.0397387
3.442937606453686,0.93781567
5.315292484419077,1.0346413
9.481690106049971,2.3418102
4.974909632370249,1.2625837
4.069869774771565,1.3907337
4.309601735647151,1.3153992
2.8558031123464804,1.4461727
6.258572708874855,1.6372938
2.693959450822483,1.6011219
7.0674742130177215,2.096035
6.043537722853429,1.3491402
4.380443732029137,1.1552963
6.722438547366011,1.1323051
9.218566396643538,2.2036362
3.2269370047757846,1.6669197
